trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
1,100.0,100%_accuracy,0.0,0.0,0,Deterministic,14,0,1,0,14,0.16694324357169016,3,7,42.857142857142854
1,100.0,100%_accuracy,0.0,0.0,1,Minimax,7,0,1,0,7,0.15448594093322754,1,4,25.0
1,100.0,100%_accuracy,0.0,0.0,2,Deterministic,12,0,1,0,12,0.11676506201426189,1,6,16.666666666666664
1,100.0,100%_accuracy,0.0,0.0,3,Minimax,13,0,1,0,13,0.16941922051565989,2,7,28.57142857142857
1,100.0,100%_accuracy,0.0,0.0,4,Deterministic,14,0,1,0,14,0.14274777684892928,3,7,42.857142857142854
1,100.0,100%_accuracy,0.0,0.0,5,Minimax,7,0,1,0,7,0.09056907892227173,2,4,50.0
1,100.0,100%_accuracy,0.0,0.0,6,Deterministic,1,0,0,1,1,0,0,0,0
1,100.0,100%_accuracy,0.0,0.0,7,Minimax,1,0,1,0,1,0.043340444564819336,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,8,Deterministic,3,0,0,1,3,0.09350991249084473,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,9,Minimax,5,0,1,0,5,0.1998310089111328,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,10,Deterministic,1,0,0,1,1,0,0,0,0
1,100.0,100%_accuracy,0.0,0.0,11,Minimax,4,4,0,1,4,0.0,0,4,0.0
1,100.0,100%_accuracy,0.0,0.0,12,Deterministic,8,0,1,0,8,0.13718420267105103,3,4,75.0
1,100.0,100%_accuracy,0.0,0.0,13,Minimax,1,0,1,0,1,0.10147714614868164,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,14,Deterministic,6,0,1,0,6,0.10938485463460286,2,3,66.66666666666666
1,100.0,100%_accuracy,0.0,0.0,15,Minimax,9,0,1,0,9,0.15023555755615234,2,5,40.0
1,100.0,100%_accuracy,0.0,0.0,16,Deterministic,1,0,0,1,1,0,0,0,0
1,100.0,100%_accuracy,0.0,0.0,17,Minimax,9,0,1,0,9,0.07447509765625,3,5,60.0
1,100.0,100%_accuracy,0.0,0.0,18,Deterministic,1,0,0,1,1,0,0,0,0
1,100.0,100%_accuracy,0.0,0.0,19,Minimax,5,0,1,0,5,0.013667106628417969,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,20,Deterministic,6,0,1,0,6,0.2758510907491048,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,21,Minimax,7,0,1,0,7,0.10312420129776001,3,4,75.0
1,100.0,100%_accuracy,0.0,0.0,22,Deterministic,8,0,1,0,8,0.05374377965927124,3,4,75.0
1,100.0,100%_accuracy,0.0,0.0,23,Minimax,5,0,1,0,5,0.04223815600077311,2,3,66.66666666666666
1,100.0,100%_accuracy,0.0,0.0,24,Deterministic,4,0,1,0,4,0.12794482707977295,1,2,50.0
1,100.0,100%_accuracy,0.0,0.0,25,Minimax,5,0,1,0,5,0.11626354853312175,2,3,66.66666666666666
1,100.0,100%_accuracy,0.0,0.0,26,Deterministic,8,0,1,0,8,0.05575895309448242,2,4,50.0
1,100.0,100%_accuracy,0.0,0.0,27,Minimax,3,0,1,0,3,0.2015167474746704,2,2,100.0
1,100.0,100%_accuracy,0.0,0.0,28,Deterministic,2,1,0,1,2,0.0,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,29,Minimax,1,1,0,1,1,0.0,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,0,Deterministic,15,0,0,1,15,0.1922281469617571,1,7,14.285714285714285
2,90.0,90%_accuracy,0.05,0.05,1,Minimax,8,0,0,1,8,0.1632956862449646,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,2,Deterministic,13,1,1,0,13,0.10045129912240165,2,7,28.57142857142857
2,90.0,90%_accuracy,0.05,0.05,3,Minimax,22,4,0,1,22,0.0802468153146597,3,13,23.076923076923077
2,90.0,90%_accuracy,0.05,0.05,4,Deterministic,9,0,0,1,9,0.19952178001403809,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,5,Minimax,9,0,1,0,9,0.10251293182373047,4,5,80.0
2,90.0,90%_accuracy,0.05,0.05,6,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,7,Minimax,3,0,1,0,3,0.22575080394744873,1,2,50.0
2,90.0,90%_accuracy,0.05,0.05,8,Deterministic,3,0,0,1,3,0.035005807876586914,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,9,Minimax,7,0,1,0,7,0.15800130367279053,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,10,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,11,Minimax,2,1,1,0,2,0.059419870376586914,0,2,0.0
2,90.0,90%_accuracy,0.05,0.05,12,Deterministic,11,1,1,0,11,0.10618758201599121,3,6,50.0
2,90.0,90%_accuracy,0.05,0.05,13,Minimax,1,0,1,0,1,0.03800511360168457,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,14,Deterministic,8,0,1,0,8,0.15369105339050293,2,4,50.0
2,90.0,90%_accuracy,0.05,0.05,15,Minimax,7,1,0,1,7,0.18713629245758057,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,16,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,17,Minimax,6,2,0,1,6,0.03931921720504761,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,18,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,19,Minimax,5,0,1,0,5,0.015003442764282227,1,3,33.33333333333333
2,90.0,90%_accuracy,0.05,0.05,20,Deterministic,7,1,1,0,7,0.08755713701248169,3,4,75.0
2,90.0,90%_accuracy,0.05,0.05,21,Minimax,9,0,1,0,9,0.09796710014343261,5,5,100.0
2,90.0,90%_accuracy,0.05,0.05,22,Deterministic,4,0,1,0,4,0.14907312393188477,1,2,50.0
2,90.0,90%_accuracy,0.05,0.05,23,Minimax,5,0,1,0,5,0.04822619756062826,1,3,33.33333333333333
2,90.0,90%_accuracy,0.05,0.05,24,Deterministic,4,1,0,1,4,0.07052969932556152,0,2,0.0
2,90.0,90%_accuracy,0.05,0.05,25,Minimax,5,0,1,0,5,0.0844265619913737,2,3,66.66666666666666
2,90.0,90%_accuracy,0.05,0.05,26,Deterministic,6,0,1,0,6,0.07687807083129883,1,3,33.33333333333333
2,90.0,90%_accuracy,0.05,0.05,27,Minimax,15,1,0,1,15,0.18355873227119446,1,8,12.5
2,90.0,90%_accuracy,0.05,0.05,28,Deterministic,2,1,0,1,2,0.0,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,29,Minimax,1,1,0,1,1,0.0,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,0,Deterministic,20,2,1,0,20,0.09492453661831943,5,11,45.45454545454545
3,80.0,80%_accuracy,0.1,0.1,1,Minimax,8,0,0,1,8,0.14977306127548218,1,4,25.0
3,80.0,80%_accuracy,0.1,0.1,2,Deterministic,14,0,1,0,14,0.133821930204119,1,7,14.285714285714285
3,80.0,80%_accuracy,0.1,0.1,3,Minimax,13,0,1,0,13,0.19750016076224192,2,7,28.57142857142857
3,80.0,80%_accuracy,0.1,0.1,4,Deterministic,10,0,1,0,10,0.27062201499938965,3,5,60.0
3,80.0,80%_accuracy,0.1,0.1,5,Minimax,8,0,0,1,8,0.16205692291259766,0,4,0.0
3,80.0,80%_accuracy,0.1,0.1,6,Deterministic,1,0,0,1,1,0,0,0,0
3,80.0,80%_accuracy,0.1,0.1,7,Minimax,1,0,1,0,1,0.041107892990112305,1,1,100.0
3,80.0,80%_accuracy,0.1,0.1,8,Deterministic,8,0,1,0,8,0.1023712158203125,2,4,50.0
3,80.0,80%_accuracy,0.1,0.1,9,Minimax,7,1,0,1,7,0.142328679561615,0,4,0.0
3,80.0,80%_accuracy,0.1,0.1,10,Deterministic,1,0,0,1,1,0,0,0,0
3,80.0,80%_accuracy,0.1,0.1,11,Minimax,1,0,1,0,1,0.20003724098205566,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,12,Deterministic,7,0,0,1,7,0.223283052444458,0,3,0.0
3,80.0,80%_accuracy,0.1,0.1,13,Minimax,13,1,0,1,13,0.07175840650285993,0,7,0.0
3,80.0,80%_accuracy,0.1,0.1,14,Deterministic,10,1,0,1,10,0.052575111389160156,0,5,0.0
3,80.0,80%_accuracy,0.1,0.1,15,Minimax,9,1,0,1,9,0.09729537963867188,1,5,20.0
3,80.0,80%_accuracy,0.1,0.1,16,Deterministic,1,0,0,1,1,0,0,0,0
3,80.0,80%_accuracy,0.1,0.1,17,Minimax,5,0,1,0,5,0.10866824785868327,2,3,66.66666666666666
3,80.0,80%_accuracy,0.1,0.1,18,Deterministic,1,0,0,1,1,0,0,0,0
3,80.0,80%_accuracy,0.1,0.1,19,Minimax,5,0,1,0,5,0.04499530792236328,1,3,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,20,Deterministic,10,1,0,1,10,0.10465149879455567,2,5,40.0
3,80.0,80%_accuracy,0.1,0.1,21,Minimax,12,2,0,1,12,0.09801016535077776,2,7,28.57142857142857
3,80.0,80%_accuracy,0.1,0.1,22,Deterministic,10,1,0,1,10,0.0367314338684082,2,5,40.0
3,80.0,80%_accuracy,0.1,0.1,23,Minimax,8,3,1,0,8,0.026439825693766277,2,6,33.33333333333333
3,80.0,80%_accuracy,0.1,0.1,24,Deterministic,5,0,0,1,5,0.12192642688751221,0,2,0.0
3,80.0,80%_accuracy,0.1,0.1,25,Minimax,7,2,1,0,7,0.08300976753234864,1,5,20.0
3,80.0,80%_accuracy,0.1,0.1,26,Deterministic,11,1,1,0,11,0.06199995676676432,0,6,0.0
3,80.0,80%_accuracy,0.1,0.1,27,Minimax,3,0,1,0,3,0.1318988800048828,2,2,100.0
3,80.0,80%_accuracy,0.1,0.1,28,Deterministic,2,1,0,1,2,0.0,0,1,0.0
3,80.0,80%_accuracy,0.1,0.1,29,Minimax,1,1,0,1,1,0.0,0,1,0.0
4,70.0,70%_accuracy,0.15,0.15,0,Deterministic,13,0,0,1,13,0.17817195256551108,1,6,16.666666666666664
4,70.0,70%_accuracy,0.15,0.15,1,Minimax,8,0,0,1,8,0.14924371242523193,1,4,25.0
4,70.0,70%_accuracy,0.15,0.15,2,Deterministic,7,0,0,1,7,0.22466309865315756,0,3,0.0
4,70.0,70%_accuracy,0.15,0.15,3,Minimax,14,2,0,1,14,0.1287917196750641,2,8,25.0
4,70.0,70%_accuracy,0.15,0.15,4,Deterministic,9,0,0,1,9,0.32039302587509155,0,4,0.0
4,70.0,70%_accuracy,0.15,0.15,5,Minimax,14,2,0,1,14,0.08255916833877563,3,8,37.5
4,70.0,70%_accuracy,0.15,0.15,6,Deterministic,1,0,0,1,1,0,0,0,0
4,70.0,70%_accuracy,0.15,0.15,7,Minimax,5,0,1,0,5,0.2703959147135417,1,3,33.33333333333333
4,70.0,70%_accuracy,0.15,0.15,8,Deterministic,6,0,1,0,6,0.06567724545796712,1,3,33.33333333333333
4,70.0,70%_accuracy,0.15,0.15,9,Minimax,7,0,1,0,7,0.07638448476791382,3,4,75.0
