trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
1,100.0,100%_accuracy,0.0,0.0,0,Deterministic,18,0,1,0,18,9.015533765157064,5,9,55.55555555555556
1,100.0,100%_accuracy,0.0,0.0,1,Minimax,3,0,1,0,3,45.41496968269348,2,2,100.0
1,100.0,100%_accuracy,0.0,0.0,2,Deterministic,12,0,1,0,12,13.809418797492981,3,6,50.0
1,100.0,100%_accuracy,0.0,0.0,3,Minimax,15,0,1,0,15,9.461931675672531,0,8,0.0
1,100.0,100%_accuracy,0.0,0.0,4,Deterministic,18,0,1,0,18,21.247529851065742,4,9,44.44444444444444
1,100.0,100%_accuracy,0.0,0.0,5,Minimax,19,0,1,0,19,7.825442957878113,3,10,30.0
1,100.0,100%_accuracy,0.0,0.0,6,Deterministic,4,0,1,0,4,4.885884761810303,1,2,50.0
1,100.0,100%_accuracy,0.0,0.0,7,Minimax,1,0,1,0,1,0.15601801872253418,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,8,Deterministic,6,0,1,0,6,3.4684295654296875,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,9,Minimax,1,0,1,0,1,0.21386981010437012,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,10,Deterministic,2,0,1,0,2,10.71458625793457,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,11,Minimax,1,1,0,1,1,0.0,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,12,Deterministic,5,0,0,1,5,1.4026542901992798,0,2,0.0
1,100.0,100%_accuracy,0.0,0.0,13,Minimax,5,0,1,0,5,0.10636695226033528,0,3,0.0
1,100.0,100%_accuracy,0.0,0.0,14,Deterministic,10,0,1,0,10,4.6011724948883055,4,5,80.0
1,100.0,100%_accuracy,0.0,0.0,15,Minimax,7,0,1,0,7,4.298738121986389,2,4,50.0
1,100.0,100%_accuracy,0.0,0.0,16,Deterministic,7,0,0,1,7,2.7397627035776773,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,17,Minimax,1,1,0,1,1,0.0,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,18,Deterministic,14,0,1,0,14,9.981118849345616,3,7,42.857142857142854
1,100.0,100%_accuracy,0.0,0.0,19,Minimax,1,1,0,1,1,0.0,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,20,Deterministic,1,0,0,1,1,0,0,0,0
1,100.0,100%_accuracy,0.0,0.0,21,Minimax,2,0,0,1,2,5.0964577198028564,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,22,Deterministic,2,0,1,0,2,1.6234509944915771,1,1,100.0
1,100.0,100%_accuracy,0.0,0.0,23,Minimax,9,0,1,0,9,0.6101962566375733,0,5,0.0
1,100.0,100%_accuracy,0.0,0.0,24,Deterministic,6,0,1,0,6,0.1914069652557373,1,3,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,25,Minimax,11,0,1,0,11,8.808890263239542,2,6,33.33333333333333
1,100.0,100%_accuracy,0.0,0.0,26,Deterministic,10,0,1,0,10,4.020828342437744,4,5,80.0
1,100.0,100%_accuracy,0.0,0.0,27,Minimax,11,0,1,0,11,8.512239217758179,4,6,66.66666666666666
1,100.0,100%_accuracy,0.0,0.0,28,Deterministic,3,0,0,1,3,10.014770269393921,0,1,0.0
1,100.0,100%_accuracy,0.0,0.0,29,Minimax,9,0,1,0,9,5.400955152511597,3,5,60.0
2,90.0,90%_accuracy,0.05,0.05,0,Deterministic,18,0,1,0,18,9.65173445807563,5,9,55.55555555555556
2,90.0,90%_accuracy,0.05,0.05,1,Minimax,3,0,1,0,3,46.7436158657074,2,2,100.0
2,90.0,90%_accuracy,0.05,0.05,2,Deterministic,12,0,1,0,12,14.46938443183899,3,6,50.0
2,90.0,90%_accuracy,0.05,0.05,3,Minimax,15,0,1,0,15,9.260680764913559,0,8,0.0
2,90.0,90%_accuracy,0.05,0.05,4,Deterministic,18,0,1,0,18,16.830994447072346,4,9,44.44444444444444
2,90.0,90%_accuracy,0.05,0.05,5,Minimax,19,0,1,0,19,8.182269620895386,3,10,30.0
2,90.0,90%_accuracy,0.05,0.05,6,Deterministic,6,0,1,0,6,25.79148594538371,1,3,33.33333333333333
2,90.0,90%_accuracy,0.05,0.05,7,Minimax,3,3,0,1,3,0.0,0,3,0.0
2,90.0,90%_accuracy,0.05,0.05,8,Deterministic,8,0,1,0,8,6.002446949481964,1,4,25.0
2,90.0,90%_accuracy,0.05,0.05,9,Minimax,1,0,1,0,1,0.054787397384643555,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,10,Deterministic,6,1,0,1,6,0.2181098461151123,0,3,0.0
2,90.0,90%_accuracy,0.05,0.05,11,Minimax,1,1,0,1,1,0.0,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,12,Deterministic,5,0,0,1,5,1.7067034244537354,0,2,0.0
2,90.0,90%_accuracy,0.05,0.05,13,Minimax,5,0,1,0,5,0.11003971099853516,0,3,0.0
2,90.0,90%_accuracy,0.05,0.05,14,Deterministic,10,0,1,0,10,6.982098817825317,4,5,80.0
2,90.0,90%_accuracy,0.05,0.05,15,Minimax,7,0,1,0,7,4.246568322181702,2,4,50.0
2,90.0,90%_accuracy,0.05,0.05,16,Deterministic,9,0,0,1,9,6.271884381771088,0,4,0.0
2,90.0,90%_accuracy,0.05,0.05,17,Minimax,1,1,0,1,1,0.0,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,18,Deterministic,16,0,1,0,16,7.450445592403412,3,8,37.5
2,90.0,90%_accuracy,0.05,0.05,19,Minimax,2,0,0,1,2,17.363266944885254,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,20,Deterministic,1,0,0,1,1,0,0,0,0
2,90.0,90%_accuracy,0.05,0.05,21,Minimax,2,0,0,1,2,4.380165100097656,0,1,0.0
2,90.0,90%_accuracy,0.05,0.05,22,Deterministic,2,0,1,0,2,1.6174089908599854,1,1,100.0
2,90.0,90%_accuracy,0.05,0.05,23,Minimax,3,0,1,0,3,5.504848957061768,1,2,50.0
2,90.0,90%_accuracy,0.05,0.05,24,Deterministic,6,0,1,0,6,8.613808870315552,0,3,0.0
