distortion_level,blur_rate,misclass_rate,board_index,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time
0.00_0.00,0.0,0.0,0,41,0,0,1,41,0.11572133302688599
0.00_0.00,0.0,0.0,1,16,0,1,0,16,0.18324485421180725
0.00_0.00,0.0,0.0,2,24,0,1,0,24,0.2483071486155192
0.00_0.00,0.0,0.0,3,28,0,1,0,28,0.08807933330535889
0.00_0.00,0.0,0.0,4,3,0,0,1,3,0.08954977989196777
0.00_0.00,0.0,0.0,5,35,0,0,1,35,0.17977004892685833
0.00_0.00,0.0,0.0,6,1,0,0,1,1,0
0.00_0.00,0.0,0.0,7,1,0,0,1,1,0
0.00_0.00,0.0,0.0,8,1,0,0,1,1,0
0.00_0.00,0.0,0.0,9,18,0,1,0,18,0.13469931814405653
0.00_0.00,0.0,0.0,10,1,0,0,1,1,0
0.00_0.00,0.0,0.0,11,8,0,1,0,8,0.1275092363357544
0.00_0.00,0.0,0.0,12,22,0,1,0,22,0.13497896627946335
0.00_0.00,0.0,0.0,13,1,0,0,1,1,0
0.00_0.00,0.0,0.0,14,1,0,0,1,1,0
0.00_0.00,0.0,0.0,15,9,0,0,1,9,0.15148824453353882
0.00_0.00,0.0,0.0,16,1,0,0,1,1,0
0.00_0.00,0.0,0.0,17,28,0,1,0,28,0.08151004995618548
0.00_0.00,0.0,0.0,18,1,0,0,1,1,0
0.00_0.00,0.0,0.0,19,25,0,0,1,25,0.12641157706578574
0.00_0.00,0.0,0.0,20,1,0,0,1,1,0
0.00_0.00,0.0,0.0,21,1,0,0,1,1,0
0.00_0.00,0.0,0.0,22,1,0,0,1,1,0
0.00_0.00,0.0,0.0,23,6,0,1,0,6,0.2266068458557129
0.00_0.00,0.0,0.0,24,14,0,1,0,14,0.10084591593061175
0.00_0.00,0.0,0.0,25,1,0,0,1,1,0
0.00_0.00,0.0,0.0,26,1,0,0,1,1,0
0.00_0.00,0.0,0.0,27,31,11,0,0,31,0.05563446453639439
0.00_0.00,0.0,0.0,28,1,0,0,1,1,0
0.00_0.00,0.0,0.0,29,1,0,0,1,1,0
0.05_0.00,0.05,0.0,0,41,0,0,1,41,0.11578925848007202
0.05_0.00,0.05,0.0,1,16,0,1,0,16,0.17809605598449707
0.05_0.00,0.05,0.0,2,14,1,0,1,14,0.2701166697910854
0.05_0.00,0.05,0.0,3,28,0,1,0,28,0.08276084491184779
0.05_0.00,0.05,0.0,4,3,0,0,1,3,0.09073543548583984
0.05_0.00,0.05,0.0,5,35,0,0,1,35,0.17533421516418457
0.05_0.00,0.05,0.0,6,1,0,0,1,1,0
0.05_0.00,0.05,0.0,7,1,0,0,1,1,0
0.05_0.00,0.05,0.0,8,1,0,0,1,1,0
0.05_0.00,0.05,0.0,9,18,0,1,0,18,0.12419769499037
0.05_0.00,0.05,0.0,10,1,0,0,1,1,0
0.05_0.00,0.05,0.0,11,8,0,1,0,8,0.14822721481323242
0.05_0.00,0.05,0.0,12,13,0,0,1,13,0.22747886180877686
0.05_0.00,0.05,0.0,13,1,0,0,1,1,0
0.05_0.00,0.05,0.0,14,1,0,0,1,1,0
0.05_0.00,0.05,0.0,15,9,0,0,1,9,0.1356489062309265
0.05_0.00,0.05,0.0,16,1,0,0,1,1,0
0.05_0.00,0.05,0.0,17,28,0,1,0,28,0.07951576369149345
0.05_0.00,0.05,0.0,18,1,0,0,1,1,0
0.05_0.00,0.05,0.0,19,25,0,0,1,25,0.12607288360595703
0.05_0.00,0.05,0.0,20,1,0,0,1,1,0
0.05_0.00,0.05,0.0,21,1,0,0,1,1,0
0.05_0.00,0.05,0.0,22,1,0,0,1,1,0
0.05_0.00,0.05,0.0,23,6,0,1,0,6,0.21801416079203287
0.05_0.00,0.05,0.0,24,13,2,0,1,13,0.13029905727931432
0.05_0.00,0.05,0.0,25,1,0,0,1,1,0
0.05_0.00,0.05,0.0,26,1,0,0,1,1,0
0.05_0.00,0.05,0.0,27,15,0,0,1,15,0.20987486839294434
0.05_0.00,0.05,0.0,28,1,0,0,1,1,0
0.05_0.00,0.05,0.0,29,1,0,0,1,1,0
0.00_0.05,0.0,0.05,0,41,0,0,1,41,0.1213836431503296
0.00_0.05,0.0,0.05,1,16,0,1,0,16,0.19379356503486633
0.00_0.05,0.0,0.05,2,24,0,1,0,24,0.25939512252807617
0.00_0.05,0.0,0.05,3,28,0,1,0,28,0.08327618667057582
0.00_0.05,0.0,0.05,4,3,0,0,1,3,0.09385418891906738
0.00_0.05,0.0,0.05,5,7,2,0,1,7,0.11642992496490479
0.00_0.05,0.0,0.05,6,1,0,0,1,1,0
0.00_0.05,0.0,0.05,7,1,0,0,1,1,0
0.00_0.05,0.0,0.05,8,1,0,0,1,1,0
0.00_0.05,0.0,0.05,9,5,0,0,1,5,0.24561166763305664
0.00_0.05,0.0,0.05,10,1,0,0,1,1,0
0.00_0.05,0.0,0.05,11,8,0,1,0,8,0.12098652124404907
0.00_0.05,0.0,0.05,12,22,0,1,0,22,0.14374143427068536
0.00_0.05,0.0,0.05,13,1,0,0,1,1,0
0.00_0.05,0.0,0.05,14,1,0,0,1,1,0
0.00_0.05,0.0,0.05,15,9,0,0,1,9,0.1153179407119751
0.00_0.05,0.0,0.05,16,1,0,0,1,1,0
0.00_0.05,0.0,0.05,17,4,3,0,1,4,0.0
0.00_0.05,0.0,0.05,18,1,0,0,1,1,0
0.00_0.05,0.0,0.05,19,25,0,0,1,25,0.1349470615386963
0.00_0.05,0.0,0.05,20,1,0,0,1,1,0
0.00_0.05,0.0,0.05,21,1,0,0,1,1,0
0.00_0.05,0.0,0.05,22,1,0,0,1,1,0
0.00_0.05,0.0,0.05,23,6,0,1,0,6,0.2329533894856771
0.00_0.05,0.0,0.05,24,6,0,1,0,6,0.2206548055013021
0.00_0.05,0.0,0.05,25,1,0,0,1,1,0
0.00_0.05,0.0,0.05,26,1,0,0,1,1,0
0.00_0.05,0.0,0.05,27,31,11,0,0,31,0.06403984342302595
0.00_0.05,0.0,0.05,28,1,0,0,1,1,0
0.00_0.05,0.0,0.05,29,1,0,0,1,1,0
0.05_0.05,0.05,0.05,0,41,0,0,1,41,0.11790862083435058
0.05_0.05,0.05,0.05,1,16,0,1,0,16,0.20412153005599976
0.05_0.05,0.05,0.05,2,24,0,1,0,24,0.2590438922246297
0.05_0.05,0.05,0.05,3,27,4,0,1,27,0.14329301516215007
0.05_0.05,0.05,0.05,4,3,0,0,1,3,0.08820557594299316
0.05_0.05,0.05,0.05,5,35,0,0,1,35,0.16298857857199275
0.05_0.05,0.05,0.05,6,1,0,0,1,1,0
0.05_0.05,0.05,0.05,7,1,0,0,1,1,0
0.05_0.05,0.05,0.05,8,1,0,0,1,1,0
0.05_0.05,0.05,0.05,9,30,12,0,0,30,0.05737471580505371
0.05_0.05,0.05,0.05,10,1,0,0,1,1,0
0.05_0.05,0.05,0.05,11,8,0,1,0,8,0.1502392292022705
0.05_0.05,0.05,0.05,12,9,0,0,1,9,0.203097403049469
0.05_0.05,0.05,0.05,13,1,0,0,1,1,0
0.05_0.05,0.05,0.05,14,1,0,0,1,1,0
0.05_0.05,0.05,0.05,15,5,0,0,1,5,0.1000295877456665
0.05_0.05,0.05,0.05,16,1,0,0,1,1,0
0.05_0.05,0.05,0.05,17,28,0,1,0,28,0.08775498185838972
0.05_0.05,0.05,0.05,18,1,0,0,1,1,0
0.05_0.05,0.05,0.05,19,25,0,0,1,25,0.12438937028249104
0.05_0.05,0.05,0.05,20,1,0,0,1,1,0
0.05_0.05,0.05,0.05,21,1,0,0,1,1,0
0.05_0.05,0.05,0.05,22,1,0,0,1,1,0
0.05_0.05,0.05,0.05,23,10,1,0,1,10,0.2898524284362793
0.05_0.05,0.05,0.05,24,14,0,1,0,14,0.1775785514286586
0.05_0.05,0.05,0.05,25,1,0,0,1,1,0
0.05_0.05,0.05,0.05,26,1,0,0,1,1,0
0.05_0.05,0.05,0.05,27,10,0,1,0,10,0.16466078758239747
0.05_0.05,0.05,0.05,28,1,0,0,1,1,0
0.05_0.05,0.05,0.05,29,1,0,0,1,1,0
0.10_0.00,0.1,0.0,0,41,0,0,1,41,0.1426047921180725
0.10_0.00,0.1,0.0,1,16,0,1,0,16,0.21256974339485168
0.10_0.00,0.1,0.0,2,24,0,1,0,24,0.3967957894007365
0.10_0.00,0.1,0.0,3,19,4,0,1,19,0.2056643095883456
0.10_0.00,0.1,0.0,4,3,0,0,1,3,0.14083361625671387
0.10_0.00,0.1,0.0,5,35,0,0,1,35,0.21344482197481043
0.10_0.00,0.1,0.0,6,1,0,0,1,1,0
0.10_0.00,0.1,0.0,7,1,0,0,1,1,0
0.10_0.00,0.1,0.0,8,1,0,0,1,1,0
0.10_0.00,0.1,0.0,9,9,0,0,1,9,0.2408968210220337
0.10_0.00,0.1,0.0,10,1,0,0,1,1,0
0.10_0.00,0.1,0.0,11,15,0,0,1,15,0.16766503879002162
0.10_0.00,0.1,0.0,12,24,1,0,1,24,0.13383493820826212
0.10_0.00,0.1,0.0,13,1,0,0,1,1,0
0.10_0.00,0.1,0.0,14,1,0,0,1,1,0
0.10_0.00,0.1,0.0,15,9,0,0,1,9,0.15277910232543945
0.10_0.00,0.1,0.0,16,1,0,0,1,1,0
0.10_0.00,0.1,0.0,17,8,1,0,1,8,0.06017422676086426
0.10_0.00,0.1,0.0,18,1,0,0,1,1,0
0.10_0.00,0.1,0.0,19,21,2,0,1,21,0.161749081178145
0.10_0.00,0.1,0.0,20,1,0,0,1,1,0
0.10_0.00,0.1,0.0,21,1,0,0,1,1,0
0.10_0.00,0.1,0.0,22,1,0,0,1,1,0
0.10_0.00,0.1,0.0,23,8,3,0,1,8,0.055408573150634764
0.10_0.00,0.1,0.0,24,8,1,0,1,8,0.09299159049987793
0.10_0.00,0.1,0.0,25,1,0,0,1,1,0
0.10_0.00,0.1,0.0,26,1,0,0,1,1,0
0.10_0.00,0.1,0.0,27,31,11,0,0,31,0.06710631506783622
0.10_0.00,0.1,0.0,28,1,0,0,1,1,0
0.10_0.00,0.1,0.0,29,1,0,0,1,1,0
0.00_0.10,0.0,0.1,0,41,0,0,1,41,0.12898058891296388
0.00_0.10,0.0,0.1,1,16,0,1,0,16,0.19943076372146606
0.00_0.10,0.0,0.1,2,24,0,1,0,24,0.2934391299883525
0.00_0.10,0.0,0.1,3,8,3,0,1,8,0.10921564102172851
0.00_0.10,0.0,0.1,4,3,0,0,1,3,0.14422059059143066
0.00_0.10,0.0,0.1,5,35,0,0,1,35,0.1995979196885053
0.00_0.10,0.0,0.1,6,1,0,0,1,1,0
0.00_0.10,0.0,0.1,7,1,0,0,1,1,0
0.00_0.10,0.0,0.1,8,1,0,0,1,1,0
0.00_0.10,0.0,0.1,9,27,0,0,1,27,0.14937817133389986
0.00_0.10,0.0,0.1,10,1,0,0,1,1,0
0.00_0.10,0.0,0.1,11,8,0,1,0,8,0.15289455652236938
0.00_0.10,0.0,0.1,12,20,0,1,0,20,0.19036924839019775
0.00_0.10,0.0,0.1,13,1,0,0,1,1,0
0.00_0.10,0.0,0.1,14,1,0,0,1,1,0
0.00_0.10,0.0,0.1,15,9,0,0,1,9,0.1406329870223999
0.00_0.10,0.0,0.1,16,1,0,0,1,1,0
0.00_0.10,0.0,0.1,17,26,0,1,0,26,0.07945500887357272
0.00_0.10,0.0,0.1,18,1,0,0,1,1,0
0.00_0.10,0.0,0.1,19,25,0,0,1,25,0.15709594885508218
0.00_0.10,0.0,0.1,20,1,0,0,1,1,0
0.00_0.10,0.0,0.1,21,1,0,0,1,1,0
0.00_0.10,0.0,0.1,22,1,0,0,1,1,0
0.00_0.10,0.0,0.1,23,21,0,0,1,21,0.05346271991729736
0.00_0.10,0.0,0.1,24,14,0,1,0,14,0.10580761092049736
0.00_0.10,0.0,0.1,25,1,0,0,1,1,0
0.00_0.10,0.0,0.1,26,1,0,0,1,1,0
0.00_0.10,0.0,0.1,27,7,2,0,1,7,0.07239961624145508
0.00_0.10,0.0,0.1,28,1,0,0,1,1,0
0.00_0.10,0.0,0.1,29,1,0,0,1,1,0
0.10_0.10,0.1,0.1,0,41,0,0,1,41,0.12020199298858643
0.10_0.10,0.1,0.1,1,13,0,0,1,13,0.11584659417470296
0.10_0.10,0.1,0.1,2,26,7,0,1,26,0.11164359748363495
0.10_0.10,0.1,0.1,3,25,0,0,1,25,0.1390793522198995
0.10_0.10,0.1,0.1,4,3,0,0,1,3,0.09458160400390625
0.10_0.10,0.1,0.1,5,35,0,0,1,35,0.17761079002829158
0.10_0.10,0.1,0.1,6,1,0,0,1,1,0
0.10_0.10,0.1,0.1,7,1,0,0,1,1,0
0.10_0.10,0.1,0.1,8,1,0,0,1,1,0
0.10_0.10,0.1,0.1,9,13,0,0,1,13,0.12240691979726155
0.10_0.10,0.1,0.1,10,1,0,0,1,1,0
0.10_0.10,0.1,0.1,11,3,2,0,1,3,0.0
0.10_0.10,0.1,0.1,12,13,0,0,1,13,0.24335130055745444
0.10_0.10,0.1,0.1,13,1,0,0,1,1,0
0.10_0.10,0.1,0.1,14,1,0,0,1,1,0
0.10_0.10,0.1,0.1,15,7,0,0,1,7,0.20602218310038248
