trial_number,accuracy_percent,distortion_level,blur_rate,misclass_rate,board_index,starting_player,moves_made,illegal_moves,minimax_ai_wins,deterministic_ai_wins,game_length,avg_move_time,optimal_moves,total_minimax_moves,move_optimality_percent
1,100.0,100%_accuracy,0.0,0.0,0,Deterministic,28,0,1,0,28,0.10550510883331299,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,1,Minimax,21,0,1,0,21,0.29422569274902344,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,2,Deterministic,28,0,1,0,28,0.10786480563027519,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,3,Minimax,21,0,1,0,21,0.3037168329412287,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,4,Deterministic,28,0,1,0,28,0.11120115007672991,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,5,Minimax,21,0,1,0,21,0.39551492170854047,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,6,Deterministic,28,0,1,0,28,0.1976827723639352,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,7,Minimax,21,0,1,0,21,0.5362966710870917,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,8,Deterministic,28,0,1,0,28,0.20578590461186,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,9,Minimax,21,0,1,0,21,0.5350737354972146,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,10,Deterministic,28,0,1,0,28,0.19351637363433838,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,11,Minimax,21,0,1,0,21,0.5283531058918346,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,12,Deterministic,28,0,1,0,28,0.19962218829563685,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,13,Minimax,21,0,1,0,21,0.5613918304443359,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,14,Deterministic,28,0,1,0,28,0.19310547624315536,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,15,Minimax,21,0,1,0,21,0.5308214100924405,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,16,Deterministic,28,0,1,0,28,0.19804479394640243,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,17,Minimax,21,0,1,0,21,0.5469502102244984,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,18,Deterministic,28,0,1,0,28,0.20854129110063827,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,19,Minimax,21,0,1,0,21,0.4925248622894287,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,20,Deterministic,28,0,1,0,28,0.10670103345598493,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,21,Minimax,21,0,1,0,21,0.30158146944912995,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,22,Deterministic,28,0,1,0,28,0.11003352914537702,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,23,Minimax,21,0,1,0,21,0.3001458861611106,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,24,Deterministic,28,0,1,0,28,0.11025193759373256,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,25,Minimax,21,0,1,0,21,0.30676518787037244,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,26,Deterministic,28,0,1,0,28,0.10962823459080287,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,27,Minimax,21,0,1,0,21,0.3013824332844127,7,11,63.63636363636363
1,100.0,100%_accuracy,0.0,0.0,28,Deterministic,28,0,1,0,28,0.11276204245431083,9,14,64.28571428571429
1,100.0,100%_accuracy,0.0,0.0,29,Minimax,21,0,1,0,21,0.31877428835088556,7,11,63.63636363636363
2,98.0,98%_accuracy,0.01,0.01,0,Deterministic,26,0,1,0,26,0.13432453228877142,7,13,53.84615384615385
2,98.0,98%_accuracy,0.01,0.01,1,Minimax,29,0,1,0,29,0.2528735319773356,10,15,66.66666666666666
2,98.0,98%_accuracy,0.01,0.01,2,Deterministic,35,1,1,0,35,0.08548510074615479,9,18,50.0
2,98.0,98%_accuracy,0.01,0.01,3,Minimax,31,0,1,0,31,0.19422845542430878,8,16,50.0
2,98.0,98%_accuracy,0.01,0.01,4,Deterministic,28,0,1,0,28,0.10834348201751709,9,14,64.28571428571429
2,98.0,98%_accuracy,0.01,0.01,5,Minimax,31,0,1,0,31,0.17884443700313568,9,16,56.25
2,98.0,98%_accuracy,0.01,0.01,6,Deterministic,34,0,1,0,34,0.10316794058855842,12,17,70.58823529411765
2,98.0,98%_accuracy,0.01,0.01,7,Minimax,26,0,0,1,26,0.20947555395273063,5,13,38.46153846153847
2,98.0,98%_accuracy,0.01,0.01,8,Deterministic,33,1,1,0,33,0.09763800396638758,8,17,47.05882352941176
2,98.0,98%_accuracy,0.01,0.01,9,Minimax,40,2,0,0,40,0.11483862286522276,10,21,47.61904761904761
2,98.0,98%_accuracy,0.01,0.01,10,Deterministic,34,1,0,1,34,0.1622774600982666,8,17,47.05882352941176
2,98.0,98%_accuracy,0.01,0.01,11,Minimax,21,0,1,0,21,0.5336173881183971,7,11,63.63636363636363
2,98.0,98%_accuracy,0.01,0.01,12,Deterministic,28,0,1,0,28,0.20062931946345738,9,14,64.28571428571429
2,98.0,98%_accuracy,0.01,0.01,13,Minimax,31,0,1,0,31,0.35387755930423737,8,16,50.0
